DIST_KM,DURATION_H,PROFILE,PREF,OPTIONS,start,end
0.852000000000000,0.037000000000000,driving-car,shortest,None,tst boces tompkins,2. northeast elementary
0.152000000000000,0.007000000000000,driving-car,shortest,None,tst boces tompkins,1. dewitt middle school
3.579000000000000,0.136000000000000,driving-car,shortest,None,tst boces tompkins,3. cayuga heights elementary
5.548000000000000,0.157000000000000,driving-car,shortest,None,tst boces tompkins,4. belle sherman
15.196000000000000,0.336000000000000,driving-car,shortest,None,tst boces tompkins,5. caroline elementary
7.558000000000000,0.222000000000000,driving-car,shortest,None,tst boces tompkins,6. south hill elementary
6.765000000000000,0.253000000000000,driving-car,shortest,None,tst boces tompkins,7. bjm elementary
5.314000000000000,0.244000000000000,driving-car,shortest,None,tst boces tompkins,8. fall creek elementary
5.388000000000000,0.259000000000000,driving-car,shortest,None,tst boces tompkins,9. boynton middle school
6.487000000000000,0.322000000000000,driving-car,shortest,None,tst boces tompkins,10. maint garage
4.873000000000000,0.220000000000000,driving-car,shortest,None,tst boces tompkins,11. bus garage
18.570000000000000,0.506000000000000,driving-car,shortest,None,tst boces tompkins,12. enfield elementary
9.323000000000000,0.328000000000000,driving-car,shortest,None,tst boces tompkins,14. tompkins recycling
8.351000000000003,0.378000000000000,driving-car,shortest,None,tst boces tompkins,13. lehman alternative
0.797000000000000,0.038000000000000,driving-car,shortest,None,1. dewitt middle school,2. northeast elementary
3.524000000000000,0.138000000000000,driving-car,shortest,None,1. dewitt middle school,3. cayuga heights elementary
5.493000000000000,0.159000000000000,driving-car,shortest,None,1. dewitt middle school,4. belle sherman
15.141999999999999,0.338000000000000,driving-car,shortest,None,1. dewitt middle school,5. caroline elementary
7.503000000000000,0.224000000000000,driving-car,shortest,None,1. dewitt middle school,6. south hill elementary
6.711000000000000,0.255000000000000,driving-car,shortest,None,1. dewitt middle school,7. bjm elementary
5.260000000000000,0.246000000000000,driving-car,shortest,None,1. dewitt middle school,8. fall creek elementary
5.334000000000000,0.261000000000000,driving-car,shortest,None,1. dewitt middle school,9. boynton middle school
6.433000000000000,0.324000000000000,driving-car,shortest,None,1. dewitt middle school,10. maint garage
4.818000000000000,0.221000000000000,driving-car,shortest,None,1. dewitt middle school,11. bus garage
18.515000000000001,0.507000000000000,driving-car,shortest,None,1. dewitt middle school,12. enfield elementary
9.269000000000000,0.330000000000000,driving-car,shortest,None,1. dewitt middle school,14. tompkins recycling
8.297000000000002,0.380000000000000,driving-car,shortest,None,1. dewitt middle school,13. lehman alternative
0.316000000000000,0.011000000000000,driving-car,shortest,None,1. dewitt middle school,tst boces tompkins
1.059000000000000,0.047000000000000,driving-car,shortest,None,2. northeast elementary,1. dewitt middle school
3.336000000000000,0.192000000000000,driving-car,shortest,None,2. northeast elementary,3. cayuga heights elementary
5.645000000000000,0.181000000000000,driving-car,shortest,None,2. northeast elementary,4. belle sherman
15.292999999999999,0.360000000000000,driving-car,shortest,None,2. northeast elementary,5. caroline elementary
7.422000000000000,0.338000000000000,driving-car,shortest,None,2. northeast elementary,6. south hill elementary
6.523000000000000,0.309000000000000,driving-car,shortest,None,2. northeast elementary,7. bjm elementary
